subject	AcqGroup
sub-84896566	57
sub-52052115	57
sub-50404037	57
sub-55069786	58
sub-54497344	58
sub-48104907	58
sub-45307098	59
sub-36895858	59
sub-99514112	59
sub-62301938	60
sub-36379885	60
sub-60909048	60
sub-22832810	61
sub-14050539	61
sub-21581470	61
sub-90977195	62
sub-84248280	62
sub-53192752	62
sub-13452019	63
sub-33137549	63
sub-34518984	63
sub-71063018	64
sub-50410445	64
sub-48451825	64
sub-18313469	65
sub-19879642	65
sub-34378654	65
sub-77716758	66
sub-80930779	66
sub-46957588	66
sub-43536587	67
sub-41587876	67
sub-94114706	68
sub-43743340	68
sub-16212351	69
sub-16597115	69
sub-66176579	70
sub-43510695	70
sub-16288167	71
sub-17497710	71
sub-14266701	72
sub-14536586	72
sub-29026694	73
sub-28920987	73
sub-86747572	74
sub-43636464	74
sub-25783272	75
sub-21539112	75
sub-62744471	76
sub-89835239	76
sub-72841884	77
sub-91949579	77
sub-87528111	78
sub-46487787	78
sub-72026185	79
sub-53533437	79
sub-16835690	80
sub-21274442	80
sub-25681825	81
sub-24097955	81
sub-72277580	82
sub-55755657	82
sub-88029789	83
sub-43116037	83
sub-36785659	84
sub-37107313	84
sub-20355470	85
sub-13939071	85
sub-65608216	86
sub-49297367	86
sub-95902182	87
sub-80450368	87
sub-21274578	88
sub-21986205	88
sub-97161005	89
sub-83380919	89
sub-33571097	90
sub-33843216	90
sub-59449940	91
sub-55603674	91
sub-59500816	92
sub-81009555	92
sub-91014121	93
sub-96474935	93
sub-33360294	94
sub-32046361	95
sub-33659310	96
sub-31533749	97
sub-24051131	98
sub-24243693	99
sub-34390470	100
sub-24328729	101
sub-27865599	102
sub-31417556	103
sub-28120589	104
sub-34070357	105
sub-33084399	106
sub-34018777	107
sub-34016757	108
sub-33171505	109
sub-80485855	110
sub-30311425	111
sub-29399378	112
sub-46808242	113
sub-47619873	114
sub-47711932	115
sub-52939119	116
sub-52786794	117
sub-50957643	118
sub-50402279	119
sub-51515723	120
sub-34453492	121
sub-22408684	122
sub-20842880	123
sub-20764143	124
sub-17151093	125
sub-13360984	126
sub-13380780	127
sub-22887653	128
sub-15003546	129
sub-15302308	130
sub-16403934	131
sub-16064431	132
sub-15548986	133
sub-16235506	134
sub-22880976	135
sub-28517012	136
sub-28663873	137
sub-29197882	138
sub-29278716	139
sub-13747771	140
sub-97478169	141
sub-27745104	142
sub-59865900	143
sub-94225596	144
sub-92276597	145
sub-93966278	146
sub-93417026	147
sub-79953855	148
sub-79692549	149
sub-66451045	150
sub-66905828	151
sub-67227993	152
sub-67364573	153
sub-70212461	154
sub-68813045	155
sub-70329923	156
sub-65692934	157
sub-60370977	158
sub-27419385	159
sub-61640072	160
sub-62398393	161
sub-62720059	162
sub-65017989	163
sub-63698192	164
sub-63053163	165
sub-77273914	166
sub-77333587	167
sub-78916544	168
sub-78010047	169
sub-77689940	170
sub-72276737	171
sub-71952642	172
sub-72931025	173
sub-94937061	174
sub-95252909	175
sub-90173045	176
sub-90076229	177
sub-26581268	178
sub-26516467	179
sub-26468686	180
sub-26084536	181
sub-86880662	182
sub-87386573	183
sub-87874312	184
sub-87942151	185
sub-79978444	186
sub-80352799	187
sub-80487613	188
sub-80966721	189
sub-81185560	190
sub-83216408	191
sub-83211453	192
sub-82728899	193
sub-82366015	194
sub-81810992	195
sub-88961000	196
sub-95439194	197
sub-95638231	198
sub-95702616	199
sub-96314498	200
sub-96915597	201
sub-56300228	202
sub-99893592	203
sub-98273670	204
sub-98844813	205
sub-90439144	206
sub-57198442	207
sub-46226934	208
sub-56961563	209
sub-92308774	210
sub-17548238	211
sub-12788806	212
sub-13064995	213
sub-70760860	214
sub-68611261	215
sub-54519335	216
sub-58458351	217
sub-86295007	218
sub-17974060	219
sub-15938020	220
sub-23825005	221
sub-23601829	222
sub-18455382	223
sub-51730202	224
sub-38881712	225
sub-10459674	226
sub-17967809	227
sub-18014283	228
sub-39898329	229
sub-12317427	230
sub-46029529	231
sub-49428128	232
sub-49094578	233
sub-48480640	234
sub-99911705	235
sub-58581705	236
sub-65685223	237
sub-16265624	238
sub-18126826	239
sub-14740738	240
sub-14682761	241
sub-13633244	242
sub-13432899	243
sub-13269830	244
sub-16879494	245
sub-18500390	246
sub-70113599	247
sub-55079134	248
sub-55396358	249
sub-13464351	250
sub-38831212	251
sub-38599661	252
sub-42432890	253
sub-68772001	254
sub-14458137	255
sub-80967998	256
sub-45712433	257
