gradient1,gradient2,gradient3,gradient4,gradient5
1.6930369,-0.009547189,-0.13013913,-0.08093104,-0.20445378
2.7307339,-0.08744325,-1.2444367,-0.004284795,0.5416571
2.9709873,-0.073257275,-0.96781904,-0.031678718,0.14232752
1.3732123,-0.17110436,-1.5796304,-0.03903298,0.9238041
1.8495829,-0.10517355,-1.5525925,-0.01690087,0.75380695
3.078217,-0.066641636,-0.52807504,-0.035371393,-0.011708673
1.0144019,-0.070033185,-1.1008527,0.03906888,0.8378006
2.5125003,-0.059056424,-0.6328949,-0.0603273,0.10857033
0.6746865,-0.20751737,-1.0258571,0.03306743,0.71833795
2.8660161,-0.11451319,-0.98661834,0.058103643,0.41393253
3.0166209,0.13599487,-0.3211713,-0.41854432,-0.03379695
1.8404619,-0.07729936,-0.40987942,-0.009228264,0.27323934
1.0526248,-0.05532858,-0.040226348,-0.014269036,0.24836056
3.207147,-0.029423712,-1.2370542,0.016947307,0.2762748
2.803612,-0.050788756,-0.8390371,-0.00956873,0.05692639
1.6466161,-0.11332098,-0.03507684,0.25732815,0.016254406
2.6556869,-0.07606492,-0.7743686,0.06973347,0.15911616
2.3494103,-0.048413683,-0.61098516,-0.020812307,0.021856388
0.004352546,-0.15217787,0.385544,0.262486,0.19186454
2.6974063,-0.08789906,-1.1383942,0.012149728,0.40211907
2.7919095,-0.09228527,-0.83174247,-0.000245208,0.20026754
3.933192,-0.09864195,-0.9453328,-0.06692131,0.15617347
1.4582539,0.024210118,-0.06276452,-0.043199275,0.023266263
2.6187434,-0.074983984,-0.746999,-0.025704674,0.09730166
2.1750202,-0.002529042,-0.3396211,-0.076399826,-0.13418359
2.1072161,-0.11507002,-0.37301728,0.07129314,0.27019247
2.024171,0.5951816,-0.79083467,0.033148255,0.09673048
1.6571792,0.001624983,-0.029459007,0.20344722,-0.05651575
1.063274,0.6401237,-0.15518145,0.074546546,-0.061656285
4.0809197,-0.043155786,-1.400474,0.055109233,0.22148807
3.245811,-0.006276936,-1.1229858,0.021766469,0.18412009
3.3220239,0.002397604,-0.33278146,-0.09399798,-0.27300286
2.5610628,-0.18524356,0.4248484,0.2559069,-0.07995756
3.0798693,-0.067802854,-0.89138097,0.033539854,0.09153851
0.7178741,0.3146188,-0.15760228,0.027593736,0.10387986
